S.N,District_Name,Zone,Ecological_Belt,Development_Region,Year_BS,Year_AD,condition,type,Male,Female,Age,Married,Unmarried,Education,Employment,lat,long,Age_Group,encoded_Conditions,encoded_Types,encoded_Education,encoded_Employment
16,Ilam,Mechi,Hill,Eastern,2069,2012,Normal,Anxiety,22,34,19,45,11.0,"Some College, short continuing education or equivalent",no,26.8560453,87.9452083,young,2,1,3,1
17,Ilam,Mechi,Hill,Eastern,2069,2012,Minor,Mental retardation,59,38,45,21,76.0,PhD/Doctorate,no,26.8560453,87.9452083,old,1,5,2,1
18,Ilam,Mechi,Hill,Eastern,2069,2012,Minor,Hysteria,45,36,60,20,61.0,None,retired,26.8560453,87.9452083,old,1,4,1,2
19,Ilam,Mechi,Hill,Eastern,2069,2012,Major,Alcoholism,30,47,43,36,41.0,PhD/Doctorate,no,26.8560453,87.9452083,old,0,0,2,1
20,Ilam,Mechi,Hill,Eastern,2069,2012,Major,Epilepsy,42,57,51,40,59.0,"College degree, bachelor, master",no,26.8560453,87.9452083,old,0,3,0,1
21,Jhapa,Mechi,Terai,Eastern,2069,2012,Major,Depression,52,30,45,47,35.0,PhD/Doctorate,retired,26.57197501,87.95532113,old,0,2,2,2
22,Jhapa,Mechi,Terai,Eastern,2069,2012,Minor,Psychosis,26,50,58,42,34.0,Unknown,retired,26.57197501,87.95532113,old,1,6,4,2
23,Jhapa,Mechi,Terai,Eastern,2069,2012,Severe,Anxiety,34,57,35,43,48.0,"College degree, bachelor, master",yes,26.57197501,87.95532113,Middle-age,3,1,0,3
24,Jhapa,Mechi,Terai,Eastern,2069,2012,Major,Mental retardation,30,43,19,35,38.0,"Some College, short continuing education or equivalent",no,26.57197501,87.95532113,young,0,5,3,1
25,Jhapa,Mechi,Terai,Eastern,2069,2012,Minor,Hysteria,21,42,60,45,18.0,None,no,26.57197501,87.95532113,old,1,4,1,1
26,Jhapa,Mechi,Terai,Eastern,2069,2012,Major,Alcoholism,31,19,40,40,10.0,PhD/Doctorate,yes,26.57197501,87.95532113,old,0,0,2,3
27,Jhapa,Mechi,Terai,Eastern,2069,2012,Major,Epilepsy,42,37,49,36,43.0,"College degree, bachelor, master",Unknown,26.57197501,87.95532113,old,0,3,0,0
28,Morang,Kosi,Terai,Eastern,2069,2012,Minor,Depression,41,35,29,45,31.0,"College degree, bachelor, master",yes,26.58315547,87.45387395,Middle-age,1,2,0,3
29,Morang,Kosi,Terai,Eastern,2069,2012,Normal,Psychosis,55,23,29,56,22.0,"College degree, bachelor, master",no,26.58315547,87.45387395,Middle-age,2,6,0,1
30,Morang,Kosi,Terai,Eastern,2069,2012,Normal,Anxiety,20,34,40,42,12.0,PhD/Doctorate,retired,26.58315547,87.45387395,old,2,1,2,2
31,Morang,Kosi,Terai,Eastern,2069,2012,Minor,Mental retardation,27,37,56,34,30.0,Up to 12 years of school,yes,26.58315547,87.45387395,old,1,5,5,3
32,Morang,Kosi,Terai,Eastern,2069,2012,Normal,Hysteria,33,18,43,51,0.0,PhD/Doctorate,yes,26.58315547,87.45387395,old,2,4,2,3
33,Morang,Kosi,Terai,Eastern,2069,2012,Normal,Alcoholism,38,53,57,20,71.0,"College degree, bachelor, master",yes,26.58315547,87.45387395,old,2,0,0,3
34,Morang,Kosi,Terai,Eastern,2069,2012,Minor,Epilepsy,42,34,22,20,56.0,"College degree, bachelor, master",yes,26.58315547,87.45387395,Middle-age,1,3,0,3
35,Sunsari,Kosi,Terai,Eastern,2069,2012,Normal,Depression,41,46,22,21,66.0,"College degree, bachelor, master",no,26.68353642,87.1812749,Middle-age,2,2,0,1
36,Sunsari,Kosi,Terai,Eastern,2069,2012,Normal,Psychosis,51,56,50,51,56.0,None,yes,26.68353642,87.1812749,old,2,6,1,3
37,Sunsari,Kosi,Terai,Eastern,2069,2012,Normal,Anxiety,29,18,41,49,40.625142857142855,PhD/Doctorate,yes,26.68353642,87.1812749,old,2,1,2,3
38,Sunsari,Kosi,Terai,Eastern,2069,2012,Minor,Mental retardation,57,58,51,18,97.0,Unknown,yes,26.68353642,87.1812749,old,1,5,4,3
39,Sunsari,Kosi,Terai,Eastern,2069,2012,Major,Hysteria,40,33,41,23,50.0,PhD/Doctorate,yes,26.68353642,87.1812749,old,0,4,2,3
40,Sunsari,Kosi,Terai,Eastern,2069,2012,Minor,Alcoholism,44,19,55,31,32.0,None,yes,26.68353642,87.1812749,old,1,0,1,3
41,Sunsari,Kosi,Terai,Eastern,2069,2012,Major,Epilepsy,20,58,54,56,22.0,"College degree, bachelor, master",yes,26.68353642,87.1812749,old,0,3,0,3
42,Dhankuta,Kosi,Hill,Eastern,2069,2012,Severe,Depression,32,33,19,33,32.0,Unknown,no,26.97426594,87.36675537,young,3,2,4,1
43,Dhankuta,Kosi,Hill,Eastern,2069,2012,Minor,Psychosis,41,48,25,20,69.0,"College degree, bachelor, master",no,26.97426594,87.36675537,Middle-age,1,6,0,1
44,Dhankuta,Kosi,Hill,Eastern,2069,2012,Minor,Anxiety,38,30,48,54,14.0,PhD/Doctorate,yes,26.97426594,87.36675537,old,1,1,2,3
45,Dhankuta,Kosi,Hill,Eastern,2069,2012,Minor,Mental retardation,30,33,45,56,7.0,PhD/Doctorate,yes,26.97426594,87.36675537,old,1,5,2,3
46,Dhankuta,Kosi,Hill,Eastern,2069,2012,Major,Hysteria,43,22,26,26,39.0,"College degree, bachelor, master",no,26.97426594,87.36675537,Middle-age,0,4,0,1
47,Dhankuta,Kosi,Hill,Eastern,2069,2012,Minor,Alcoholism,35,27,22,60,2.0,"College degree, bachelor, master",no,26.97426594,87.36675537,Middle-age,1,0,0,1
48,Dhankuta,Kosi,Hill,Eastern,2069,2012,Minor,Epilepsy,59,58,56,40,77.0,Up to 12 years of school,no,26.97426594,87.36675537,old,1,3,5,1
49,Teharthum,Kosi,Hill,Eastern,2069,2012,Major,Depression,37,36,40,42,31.0,PhD/Doctorate,no,27.13350032,87.55401564,old,0,2,2,1
50,Teharthum,Kosi,Hill,Eastern,2069,2012,Normal,Psychosis,55,45,57,53,47.0,Unknown,no,27.13350032,87.55401564,old,2,6,4,1
51,Teharthum,Kosi,Hill,Eastern,2069,2012,Major,Anxiety,24,37,51,60,1.0,"College degree, bachelor, master",Unknown,27.13350032,87.55401564,old,0,1,0,0
52,Teharthum,Kosi,Hill,Eastern,2069,2012,Normal,Mental retardation,30,28,23,36,22.0,"College degree, bachelor, master",no,27.13350032,87.55401564,Middle-age,2,5,0,1
53,Teharthum,Kosi,Hill,Eastern,2069,2012,Normal,Hysteria,54,33,55,28,59.0,Up to 12 years of school,Unknown,27.13350032,87.55401564,old,2,4,5,0
54,Teharthum,Kosi,Hill,Eastern,2069,2012,Minor,Alcoholism,25,43,42,45,23.0,PhD/Doctorate,Unknown,27.13350032,87.55401564,old,1,0,2,0
55,Teharthum,Kosi,Hill,Eastern,2069,2012,Minor,Epilepsy,38,58,33,40,56.0,"College degree, bachelor, master",no,27.13350032,87.55401564,Middle-age,1,3,0,1
56,Sankhuwasabha,Kosi,Mountain,Eastern,2069,2012,Severe,Depression,54,36,59,21,69.0,"College degree, bachelor, master",Unknown,27.52454419,87.29855621,old,3,2,0,0
57,Sankhuwasabha,Kosi,Mountain,Eastern,2069,2012,Major,Psychosis,30,37,47,54,13.0,PhD/Doctorate,Unknown,27.52454419,87.29855621,old,0,6,2,0
58,Sankhuwasabha,Kosi,Mountain,Eastern,2069,2012,Major,Anxiety,31,56,49,38,49.0,Unknown,no,27.52454419,87.29855621,old,0,1,4,1
59,Sankhuwasabha,Kosi,Mountain,Eastern,2069,2012,Normal,Mental retardation,25,51,56,45,31.0,"College degree, bachelor, master",Unknown,27.52454419,87.29855621,old,2,5,0,0
60,Sankhuwasabha,Kosi,Mountain,Eastern,2069,2012,Minor,Hysteria,18,26,42,31,13.0,PhD/Doctorate,Unknown,27.52454419,87.29855621,old,1,4,2,0
61,Sankhuwasabha,Kosi,Mountain,Eastern,2069,2012,Minor,Alcoholism,20,21,47,32,9.0,PhD/Doctorate,Unknown,27.52454419,87.29855621,old,1,0,2,0
62,Sankhuwasabha,Kosi,Mountain,Eastern,2069,2012,Normal,Epilepsy,44,45,36,52,37.0,"College degree, bachelor, master",no,27.52454419,87.29855621,Middle-age,2,3,0,1
63,Bhojpur,Kosi,Hill,Eastern,2069,2012,Severe,Depression,29,23,19,45,7.0,Unknown,yes,27.21832031,87.06666799,young,3,2,4,3
64,Bhojpur,Kosi,Hill,Eastern,2069,2012,Minor,Psychosis,60,19,25,37,42.0,"College degree, bachelor, master",yes,27.21832031,87.06666799,Middle-age,1,6,0,3
65,Bhojpur,Kosi,Hill,Eastern,2069,2012,Severe,Anxiety,48,39,56,59,28.0,PhD/Doctorate,Unknown,27.21832031,87.06666799,old,3,1,2,0
66,Bhojpur,Kosi,Hill,Eastern,2069,2012,Major,Mental retardation,31,32,31,42,21.0,"College degree, bachelor, master",yes,27.21832031,87.06666799,Middle-age,0,5,0,3
67,Bhojpur,Kosi,Hill,Eastern,2069,2012,Minor,Hysteria,34,41,29,34,41.0,"College degree, bachelor, master",yes,27.21832031,87.06666799,Middle-age,1,4,0,3
68,Bhojpur,Kosi,Hill,Eastern,2069,2012,Normal,Alcoholism,31,25,46,50,6.0,PhD/Doctorate,Unknown,27.21832031,87.06666799,old,2,0,2,0
69,Bhojpur,Kosi,Hill,Eastern,2069,2012,Major,Epilepsy,53,29,22,40,42.0,"College degree, bachelor, master",no,27.21832031,87.06666799,Middle-age,0,3,0,1
70,Solukhumbu,Sagarmatha,Mountain,Eastern,2069,2012,Severe,Depression,51,22,37,23,50.0,"College degree, bachelor, master",yes,27.75423434,86.69879175,Middle-age,3,2,0,3
71,Solukhumbu,Sagarmatha,Mountain,Eastern,2069,2012,Major,Psychosis,47,32,26,42,37.0,"College degree, bachelor, master",yes,27.75423434,86.69879175,Middle-age,0,6,0,3
72,Solukhumbu,Sagarmatha,Mountain,Eastern,2069,2012,Normal,Anxiety,36,57,49,31,62.0,"College degree, bachelor, master",Unknown,27.75423434,86.69879175,old,2,1,0,0
73,Solukhumbu,Sagarmatha,Mountain,Eastern,2069,2012,Severe,Mental retardation,55,31,27,23,63.0,"College degree, bachelor, master",yes,27.75423434,86.69879175,Middle-age,3,5,0,3
74,Solukhumbu,Sagarmatha,Mountain,Eastern,2069,2012,Severe,Hysteria,21,30,36,48,3.0,"College degree, bachelor, master",yes,27.75423434,86.69879175,Middle-age,3,4,0,3
75,Solukhumbu,Sagarmatha,Mountain,Eastern,2069,2012,Major,Alcoholism,27,39,47,44,22.0,PhD/Doctorate,Unknown,27.75423434,86.69879175,old,0,0,2,0
76,Solukhumbu,Sagarmatha,Mountain,Eastern,2069,2012,Normal,Epilepsy,40,55,51,50,45.0,Up to 9 years of school,Unknown,27.75423434,86.69879175,old,2,3,6,0
77,Okhaldhunga,Sagarmatha,Hill,Eastern,2069,2012,Normal,Depression,58,47,42,49,56.0,PhD/Doctorate,Unknown,27.32850363,86.41723305,old,2,2,2,0
78,Okhaldhunga,Sagarmatha,Hill,Eastern,2069,2012,Severe,Psychosis,46,29,52,58,17.0,"College degree, bachelor, master",Unknown,27.32850363,86.41723305,old,3,6,0,0
79,Okhaldhunga,Sagarmatha,Hill,Eastern,2069,2012,Normal,Anxiety,18,25,29,25,18.0,"College degree, bachelor, master",yes,27.32850363,86.41723305,Middle-age,2,1,0,3
80,Okhaldhunga,Sagarmatha,Hill,Eastern,2069,2012,Minor,Mental retardation,51,46,40,42,55.0,PhD/Doctorate,no,27.32850363,86.41723305,old,1,5,2,1
81,Okhaldhunga,Sagarmatha,Hill,Eastern,2069,2012,Severe,Hysteria,21,57,56,18,60.0,Unknown,retired,27.32850363,86.41723305,old,3,4,4,2
82,Okhaldhunga,Sagarmatha,Hill,Eastern,2069,2012,Minor,Alcoholism,59,53,20,28,84.0,Unknown,no,27.32850363,86.41723305,Middle-age,1,0,4,1
83,Okhaldhunga,Sagarmatha,Hill,Eastern,2069,2012,Major,Epilepsy,45,53,52,33,65.0,"College degree, bachelor, master",yes,27.32850363,86.41723305,old,0,3,0,3
84,Khotang,Sagarmatha,Hill,Eastern,2069,2012,Minor,Depression,22,57,40,38,41.0,PhD/Doctorate,no,27.10524151,86.76344684,old,1,2,2,1
85,Khotang,Sagarmatha,Hill,Eastern,2069,2012,Normal,Psychosis,23,28,22,38,13.0,"College degree, bachelor, master",no,27.10524151,86.76344684,Middle-age,2,6,0,1
86,Khotang,Sagarmatha,Hill,Eastern,2069,2012,Minor,Anxiety,30,55,26,25,60.0,"College degree, bachelor, master",yes,27.10524151,86.76344684,Middle-age,1,1,0,3
87,Khotang,Sagarmatha,Hill,Eastern,2069,2012,Severe,Mental retardation,45,47,23,53,39.0,"College degree, bachelor, master",no,27.10524151,86.76344684,Middle-age,3,5,0,1
88,Khotang,Sagarmatha,Hill,Eastern,2069,2012,Normal,Hysteria,57,26,60,50,33.0,Up to 9 years of school,Unknown,27.10524151,86.76344684,old,2,4,6,0
89,Khotang,Sagarmatha,Hill,Eastern,2069,2012,Major,Alcoholism,53,25,29,21,57.0,"College degree, bachelor, master",no,27.10524151,86.76344684,Middle-age,0,0,0,1
90,Khotang,Sagarmatha,Hill,Eastern,2069,2012,Minor,Epilepsy,39,21,27,23,37.0,"College degree, bachelor, master",no,27.10524151,86.76344684,Middle-age,1,3,0,1
91,Udaypur,Sagarmatha,Hill,Eastern,2069,2012,Major,Depression,49,60,30,51,58.0,"College degree, bachelor, master",no,26.89706243,86.62430815,Middle-age,0,2,0,1
92,Udaypur,Sagarmatha,Hill,Eastern,2069,2012,Minor,Psychosis,39,39,26,29,49.0,"College degree, bachelor, master",yes,26.89706243,86.62430815,Middle-age,1,6,0,3
93,Udaypur,Sagarmatha,Hill,Eastern,2069,2012,Normal,Anxiety,20,56,18,3,73.0,Up to 12 years of school,yes,26.89706243,86.62430815,young,2,1,5,3
94,Udaypur,Sagarmatha,Hill,Eastern,2069,2012,Major,Mental retardation,53,19,33,28,44.0,"College degree, bachelor, master",no,26.89706243,86.62430815,Middle-age,0,5,0,1
95,Udaypur,Sagarmatha,Hill,Eastern,2069,2012,Minor,Hysteria,20,37,20,22,35.0,"College degree, bachelor, master",no,26.89706243,86.62430815,Middle-age,1,4,0,1
96,Udaypur,Sagarmatha,Hill,Eastern,2069,2012,Major,Alcoholism,23,19,59,22,20.0,"College degree, bachelor, master",Unknown,26.89706243,86.62430815,old,0,0,0,0
97,Udaypur,Sagarmatha,Hill,Eastern,2069,2012,Major,Epilepsy,22,26,38,54,40.625142857142855,"College degree, bachelor, master",no,26.89706243,86.62430815,Middle-age,0,3,0,1
98,Saptari,Sagarmatha,Terai,Eastern,2069,2012,Major,Depression,19,51,29,20,50.0,"College degree, bachelor, master",yes,26.59685229,86.73725506,Middle-age,0,2,0,3
99,Saptari,Sagarmatha,Terai,Eastern,2069,2012,Normal,Psychosis,52,19,54,22,49.0,Unknown,Unknown,26.59685229,86.73725506,old,2,6,4,0
100,Saptari,Sagarmatha,Terai,Eastern,2069,2012,Minor,Anxiety,35,33,55,50,18.0,Up to 12 years of school,Unknown,26.59685229,86.73725506,old,1,1,5,0
101,Saptari,Sagarmatha,Terai,Eastern,2069,2012,Severe,Mental retardation,18,27,23,31,14.0,"College degree, bachelor, master",yes,26.59685229,86.73725506,Middle-age,3,5,0,3
102,Saptari,Sagarmatha,Terai,Eastern,2069,2012,Major,Hysteria,31,49,39,24,56.0,"College degree, bachelor, master",no,26.59685229,86.73725506,Middle-age,0,4,0,1
103,Saptari,Sagarmatha,Terai,Eastern,2069,2012,Normal,Alcoholism,20,38,55,52,6.0,"College degree, bachelor, master",Unknown,26.59685229,86.73725506,old,2,0,0,0
104,Saptari,Sagarmatha,Terai,Eastern,2069,2012,Minor,Epilepsy,60,39,54,30,69.0,Up to 9 years of school,Unknown,26.59685229,86.73725506,old,1,3,6,0
105,Siraha,Sagarmatha,Terai,Eastern,2069,2012,Normal,Depression,54,37,24,36,55.0,"College degree, bachelor, master",yes,26.6852784,86.32651559,Middle-age,2,2,0,3
106,Siraha,Sagarmatha,Terai,Eastern,2069,2012,Minor,Psychosis,27,23,19,38,12.0,Unknown,yes,26.6852784,86.32651559,young,1,6,4,3
107,Siraha,Sagarmatha,Terai,Eastern,2069,2012,Minor,Anxiety,54,54,39,36,72.0,"College degree, bachelor, master",no,26.6852784,86.32651559,Middle-age,1,1,0,1
108,Siraha,Sagarmatha,Terai,Eastern,2069,2012,Major,Mental retardation,54,42,42,40,56.0,PhD/Doctorate,Unknown,26.6852784,86.32651559,old,0,5,2,0
109,Siraha,Sagarmatha,Terai,Eastern,2069,2012,Major,Hysteria,48,52,40,28,72.0,PhD/Doctorate,no,26.6852784,86.32651559,old,0,4,2,1
110,Siraha,Sagarmatha,Terai,Eastern,2069,2012,Severe,Alcoholism,19,36,58,20,35.0,"College degree, bachelor, master",no,26.6852784,86.32651559,old,3,0,0,1
111,Siraha,Sagarmatha,Terai,Eastern,2069,2012,Minor,Epilepsy,54,51,51,23,82.0,Up to 12 years of school,no,26.6852784,86.32651559,old,1,3,5,1
112,Dhanusha,Janakpur,Terai,Central,2069,2012,Minor,Depression,20,27,28,32,15.0,"College degree, bachelor, master",no,26.79587245,86.00721975,Middle-age,1,2,0,1
113,Dhanusha,Janakpur,Terai,Central,2069,2012,Normal,Psychosis,45,48,43,32,61.0,PhD/Doctorate,no,26.79587245,86.00721975,old,2,6,2,1
114,Dhanusha,Janakpur,Terai,Central,2069,2012,Severe,Anxiety,51,59,18,2,108.0,Up to 12 years of school,yes,26.79587245,86.00721975,young,3,1,5,3
115,Dhanusha,Janakpur,Terai,Central,2069,2012,Normal,Mental retardation,32,54,45,29,57.0,PhD/Doctorate,no,26.79587245,86.00721975,old,2,5,2,1
116,Dhanusha,Janakpur,Terai,Central,2069,2012,Minor,Hysteria,56,27,60,21,62.0,"College degree, bachelor, master",no,26.79587245,86.00721975,old,1,4,0,1
117,Dhanusha,Janakpur,Terai,Central,2069,2012,Minor,Alcoholism,52,52,32,43,61.0,"College degree, bachelor, master",no,26.79587245,86.00721975,Middle-age,1,0,0,1
118,Dhanusha,Janakpur,Terai,Central,2069,2012,Normal,Epilepsy,39,42,22,30,51.0,None,no,26.79587245,86.00721975,Middle-age,2,3,1,1
119,Mahottari,Janakpur,Terai,Central,2069,2012,Major,Depression,37,49,38,41,45.0,"College degree, bachelor, master",Unknown,26.85777117,85.82059516,Middle-age,0,2,0,0
120,Mahottari,Janakpur,Terai,Central,2069,2012,Normal,Psychosis,44,29,53,32,41.0,"College degree, bachelor, master",no,26.85777117,85.82059516,old,2,6,0,1
121,Mahottari,Janakpur,Terai,Central,2069,2012,Severe,Anxiety,58,55,41,38,75.0,PhD/Doctorate,no,26.85777117,85.82059516,old,3,1,2,1
122,Mahottari,Janakpur,Terai,Central,2069,2012,Minor,Mental retardation,21,56,34,56,21.0,"College degree, bachelor, master",no,26.85777117,85.82059516,Middle-age,1,5,0,1
123,Mahottari,Janakpur,Terai,Central,2069,2012,Normal,Hysteria,43,42,21,35,50.0,"College degree, bachelor, master",no,26.85777117,85.82059516,Middle-age,2,4,0,1
124,Mahottari,Janakpur,Terai,Central,2069,2012,Severe,Alcoholism,40,37,28,42,35.0,"College degree, bachelor, master",no,26.85777117,85.82059516,Middle-age,3,0,0,1
125,Mahottari,Janakpur,Terai,Central,2069,2012,Severe,Epilepsy,38,41,25,48,31.0,Unknown,no,26.85777117,85.82059516,Middle-age,3,3,4,1
126,Sarlahi,Janakpur,Terai,Central,2069,2012,Major,Depression,55,44,47,38,61.0,PhD/Doctorate,no,26.96581113,85.5617024,old,0,2,2,1
127,Sarlahi,Janakpur,Terai,Central,2069,2012,Minor,Psychosis,46,44,37,45,45.0,"College degree, bachelor, master",no,26.96581113,85.5617024,Middle-age,1,6,0,1
128,Sarlahi,Janakpur,Terai,Central,2069,2012,Major,Anxiety,48,30,58,45,33.0,Up to 9 years of school,no,26.96581113,85.5617024,old,0,1,6,1
129,Sarlahi,Janakpur,Terai,Central,2069,2012,Normal,Mental retardation,23,28,20,44,7.0,"College degree, bachelor, master",no,26.96581113,85.5617024,Middle-age,2,5,0,1
130,Sarlahi,Janakpur,Terai,Central,2069,2012,Minor,Hysteria,28,31,38,58,1.0,"College degree, bachelor, master",no,26.96581113,85.5617024,Middle-age,1,4,0,1
131,Sarlahi,Janakpur,Terai,Central,2069,2012,Normal,Alcoholism,50,43,53,52,41.0,Unknown,yes,26.96581113,85.5617024,old,2,0,4,3
132,Sarlahi,Janakpur,Terai,Central,2069,2012,Major,Epilepsy,25,37,49,30,32.0,Up to 12 years of school,yes,26.96581113,85.5617024,old,0,3,5,3
133,Sindhuli,Janakpur,Hill,Central,2069,2012,Minor,Depression,37,51,21,30,58.0,"College degree, bachelor, master",no,27.21085578,85.90028129,Middle-age,1,2,0,1
134,Sindhuli,Janakpur,Hill,Central,2069,2012,Minor,Psychosis,60,55,38,33,82.0,"College degree, bachelor, master",no,27.21085578,85.90028129,Middle-age,1,6,0,1
135,Sindhuli,Janakpur,Hill,Central,2069,2012,Normal,Anxiety,44,33,33,41,36.0,Unknown,no,27.21085578,85.90028129,Middle-age,2,1,4,1
136,Sindhuli,Janakpur,Hill,Central,2069,2012,Minor,Mental retardation,54,58,36,23,89.0,"College degree, bachelor, master",no,27.21085578,85.90028129,Middle-age,1,5,0,1
137,Sindhuli,Janakpur,Hill,Central,2069,2012,Normal,Hysteria,46,44,28,50,40.0,Unknown,no,27.21085578,85.90028129,Middle-age,2,4,4,1
138,Sindhuli,Janakpur,Hill,Central,2069,2012,Normal,Alcoholism,40,27,22,45,22.0,"College degree, bachelor, master",yes,27.21085578,85.90028129,Middle-age,2,0,0,3
139,Sindhuli,Janakpur,Hill,Central,2069,2012,Severe,Epilepsy,54,40,40,39,55.0,PhD/Doctorate,no,27.21085578,85.90028129,old,3,3,2,1
140,Ramechhap,Janakpur,Hill,Central,2069,2012,Minor,Depression,37,22,20,40,19.0,None,yes,27.45389329,86.17446896,Middle-age,1,2,1,3
141,Ramechhap,Janakpur,Hill,Central,2069,2012,Severe,Psychosis,22,41,35,18,45.0,"College degree, bachelor, master",no,27.45389329,86.17446896,Middle-age,3,6,0,1
142,Ramechhap,Janakpur,Hill,Central,2069,2012,Severe,Anxiety,55,21,29,43,33.0,Unknown,no,27.45389329,86.17446896,Middle-age,3,1,4,1
143,Ramechhap,Janakpur,Hill,Central,2069,2012,Major,Mental retardation,54,57,35,33,78.0,"College degree, bachelor, master",Unknown,27.45389329,86.17446896,Middle-age,0,5,0,0
144,Ramechhap,Janakpur,Hill,Central,2069,2012,Major,Hysteria,27,20,37,31,16.0,Unknown,Unknown,27.45389329,86.17446896,Middle-age,0,4,4,0
145,Ramechhap,Janakpur,Hill,Central,2069,2012,Minor,Alcoholism,35,25,24,36,24.0,"College degree, bachelor, master",yes,27.45389329,86.17446896,Middle-age,1,0,0,3
146,Ramechhap,Janakpur,Hill,Central,2069,2012,Severe,Epilepsy,34,39,22,45,28.0,"College degree, bachelor, master",yes,27.45389329,86.17446896,Middle-age,3,3,0,3
147,Dolkha,Janakpur,Mountain,Central,2069,2012,Major,Depression,19,27,23,36,10.0,Unknown,yes,27.82352203,86.19576072,Middle-age,0,2,4,3
148,Dolkha,Janakpur,Mountain,Central,2069,2012,Major,Psychosis,30,28,26,20,38.0,"College degree, bachelor, master",Unknown,27.82352203,86.19576072,Middle-age,0,6,0,0
149,Dolkha,Janakpur,Mountain,Central,2069,2012,Severe,Anxiety,54,55,42,39,70.0,PhD/Doctorate,yes,27.82352203,86.19576072,old,3,1,2,3
150,Dolkha,Janakpur,Mountain,Central,2069,2012,Normal,Mental retardation,46,35,26,52,29.0,"College degree, bachelor, master",Unknown,27.82352203,86.19576072,Middle-age,2,5,0,0
151,Dolkha,Janakpur,Mountain,Central,2069,2012,Major,Hysteria,51,43,30,53,41.0,"College degree, bachelor, master",Unknown,27.82352203,86.19576072,Middle-age,0,4,0,0
152,Dolkha,Janakpur,Mountain,Central,2069,2012,Minor,Alcoholism,60,49,20,54,55.0,Unknown,no,27.82352203,86.19576072,Middle-age,1,0,4,1
153,Dolkha,Janakpur,Mountain,Central,2069,2012,Severe,Epilepsy,36,19,49,54,1.0,"College degree, bachelor, master",yes,27.82352203,86.19576072,old,3,3,0,3
154,Sindhupalchowk,Bagmati,Mountain,Central,2069,2012,Minor,Depression,47,50,34,22,75.0,"College degree, bachelor, master",Unknown,27.94899924,85.75847357,Middle-age,1,2,0,0
155,Sindhupalchowk,Bagmati,Mountain,Central,2069,2012,Major,Psychosis,29,34,19,48,15.0,"Some College, short continuing education or equivalent",yes,27.94899924,85.75847357,young,0,6,3,3
